"","SYMBOL","ENTREZID"
"801","GXYLT2","727936"
"802","FARSB","10056"
"803","CEMIP2","23670"
"804","PVR","5817"
"805","POLR3K","51728"
"806","C4orf19","55286"
"807","SLC25A35","399512"
"808","PLEKHH1","57475"
"809","ARRDC3","57561"
"810","SLC25A19","60386"
"811","NOCT","25819"
"812","SYTL2","54843"
"813","KNTC1","9735"
"814","CHEK1","1111"
"815","NEK1","4750"
"816","PARP9","83666"
"817","EBI3","10148"
"818","SNAPC1","6617"
"819","AQP3","360"
"820","GINS4","84296"
"821","VGLL3","389136"
"822","ZNF528","84436"
"823","HSPH1","10808"
"824","LIF","3976"
"825","CREBRF","153222"
"826","EGR1","1958"
"827","SPDL1","54908"
"828","RANGAP1","5905"
"829","PHF19","26147"
"830","TMEM255A","55026"
"831","NUP35","129401"
"832","LOC100287896","100287896"
"833","KIF22","3835"
"834","KCNH1","3756"
"835","SHROOM3","57619"
"836","ADCY3","109"
"837","IMP4","92856"
"838","EFNA1","1942"
"839","SLITRK3","22865"
"840","KIF23","9493"
"841","ING4","51147"
"842","KNOP1","400506"
"843","GPR162","27239"
"844","RIT1","6016"
"845","ZNF334","55713"
"846","H3C6","8353"
"847","RALGPS2","55103"
"848","SNORD78","692198"
"849","MTMR9LP","339483"
"850","BEND6","221336"
"851","TEAD4","7004"
"852","RRP7A","27341"
"853","CHMP4C","92421"
"854","MMP19","4327"
"855","TSPAN2","10100"
"856","CKB","1152"
"857","PRPF4","9128"
"858","RHBDF1","64285"
"859","FGD4","121512"
"860","SEH1L","81929"
"861","MMP12","4321"
"862","FAM78B","149297"
"863","PARP3","10039"
"864","HBE1","3046"
"865","CTSF","8722"
"866","ADGRL3","23284"
"867","PCDHB3","56132"
"868","SLC19A1","6573"
"869","FBXL20","84961"
"870","H2BC4","8347"
"871","EZH2","2146"
"872","SNRPD1","6632"
"873","GLI3","2737"
"874","GSTZ1","2954"
"875","SKA1","220134"
"876","SUV39H2","79723"
"877","ZNF83","55769"
"878","NEMP1","23306"
"879","DMC1","11144"
"880","MC4R","4160"
"881","FKBP4","2288"
"882","VAT1","10493"
"883","BBS2","583"
"884","PDK1","5163"
"885","AP1G2","8906"
"886","PRPS2","5634"
"887","PLTP","5360"
"888","CCNB1","891"
"889","ESPL1","9700"
"890","KIAA1324L","222223"
"891","FEN1","2237"
"892","H2AC15","8330"
"893","PIMREG","54478"
"894","GSTT1","2952"
"895","PADI2","11240"
"896","CDH7","1005"
"897","PLK1","5347"
"898","GABRG2","2566"
"899","TTF2","8458"
"900","KIAA1107","23285"
"901","SFXN1","94081"
"902","FAM149B1","317662"
"903","MYB","4602"
"904","UBR7","55148"
"905","LINC01530","729975"
"906","PPP1R21","129285"
"907","ACACB","32"
"908","ENO4","387712"
"909","PSMC3IP","29893"
"910","MBD5","55777"
"911","DSC2","1824"
"912","NUF2","83540"
"913","NOC3L","64318"
"914","TRMT6","51605"
"915","FAM122C","159091"
"916","H4C2","8366"
"917","DZIP3","9666"
"918","SLC44A5","204962"
"919","HHIPL2","79802"
"920","GUCY1B2","2974"
"921","PTX3","5806"
"922","ARMC6","93436"
"923","CCDC92","80212"
"924","TOX","9760"
"925","ZNF641","121274"
"926","KCNMB4","27345"
"927","TNFRSF12A","51330"
"928","NIPAL2","79815"
"929","CNKSR2","22866"
"930","H4C6","8361"
"931","ACAN","176"
"932","CCDC122","160857"
"933","YRDC","79693"
"934","ADAMTS12","81792"
"935","LAPTM5","7805"
"936","EME1","146956"
"937","KIF20B","9585"
"938","MAML2","84441"
"939","DHX15","1665"
"940","AK4","205"
"941","TMEM219","124446"
"942","GRAMD1C","54762"
"943","RAB26","25837"
"944","PLPP4","196051"
"945","BUB1","699"
"946","GALNT5","11227"
"947","RASSF2","9770"
"948","KCNQ5","56479"
"949","ZMYND19","116225"
"950","ESRRG","2104"
"951","PCYOX1L","78991"
"952","CAMK4","814"
"953","ZNF471","57573"
"954","RPRM","56475"
"955","WDR43","23160"
"956","WBP1L","54838"
"957","ATP1B2","482"
"958","ADAM19","8728"
"959","CARF","79800"
"960","PCDH18","54510"
"961","NMRK1","54981"
"962","DCK","1633"
"963","MRPL17","63875"
"964","BIRC5","332"
"965","GNL3","26354"
"966","PDGFRB","5159"
"967","C7orf31","136895"
"968","TM4SF1","4071"
"969","POC1A","25886"
"970","LMO4","8543"
"971","BRIX1","55299"
"972","AGRN","375790"
"973","LY6K","54742"
"974","ZBTB20","26137"
"975","SAMD12","401474"
"976","USP53","54532"
"977","SPRY1","10252"
"978","P2RX4","5025"
"979","MARCHF4","57574"
"980","MIF4GD","57409"
"981","FGFR2","2263"
"982","CENPA","1058"
"983","PDE4B","5142"
"984","TMEM130","222865"
"985","NF2","4771"
"986","NUP58","9818"
"987","SASS6","163786"
"988","TSPAN13","27075"
"989","MDGA2","161357"
"990","CKS1B","1163"
"991","MMD","23531"
"992","FJX1","24147"
"993","PSAP","5660"
"994","RMI1","80010"
"995","TRIM51","84767"
"996","EMG1","10436"
"997","CENPP","401541"
"998","MAK16","84549"
"999","LINC00346","283487"
"1000","TMEM232","642987"
"1001","SPATA7","55812"
"1002","C1orf220","400798"
"1003","GRWD1","83743"
"1004","MAP2","4133"
"1005","TACC3","10460"
"1006","UNG","7374"
"1007","SUV39H1","6839"
"1008","SERPINA6","866"
"1009","TIMP2","7077"
"1010","PUS7","54517"
"1011","MATN2","4147"
"1012","MAGOHB","55110"
"1013","KCTD15","79047"
"1014","KRT18","3875"
"1015","LINC01549","100505929"
"1016","PUM3","9933"
"1017","NDC1","55706"
"1018","SYT1","6857"
"1019","CTNNA3","29119"
"1020","STC2","8614"
"1021","DBP","1628"
"1022","GPN3","51184"
"1023","ZFP90","146198"
"1024","CD96","10225"
"1025","EPHA3","2042"
"1026","PCDHB7","56129"
"1027","EPHX1","2052"
"1028","LRMDA","83938"
"1029","RAB39A","54734"
"1030","C2orf15","150590"
"1031","ESM1","11082"
"1032","AURKA","6790"
"1033","CDCP1","64866"
"1034","ITGA4","3676"
"1035","SEMA3B","7869"
"1036","UAP1","6675"
"1037","STAT2","6773"
"1038","MTBP","27085"
"1039","SAAL1","113174"
"1040","MAN2A2","4122"
"1041","SWT1","54823"
"1042","MAP3K9","4293"
"1043","NUP188","23511"
"1044","SOX13","9580"
"1045","PRPS1","5631"
"1046","IL37","27178"
"1047","TCERG1","10915"
"1048","LINC01089","338799"
"1049","CRYAB","1410"
"1050","SH3BGRL","6451"
"1051","ENPEP","2028"
"1052","IL10RB","3588"
"1053","TMEM159","57146"
"1054","DMXL2","23312"
"1055","RUVBL1","8607"
"1056","PRR16","51334"
"1057","PLXNB1","5364"
"1058","GNG4","2786"
"1059","SLC25A15","10166"
"1060","NCKAP5","344148"
"1061","SLC7A1","6541"
"1062","CENPQ","55166"
"1063","PTN","5764"
"1064","WEE1","7465"
"1065","GINS3","64785"
"1066","GTPBP4","23560"
"1067","TNFRSF19","55504"
"1068","TMPRSS3","64699"
"1069","NOTCH1","4851"
"1070","S100P","6286"
"1071","RETREG1","54463"
"1072","NRXN3","9369"
"1073","SAV1","60485"
"1074","DGKA","1606"
"1075","SSBP3","23648"
"1076","LIN9","286826"
"1077","BCL2","596"
"1078","CD200","4345"
"1079","FLRT1","23769"
"1080","NELL2","4753"
"1081","CXCL1","2919"
